55628	8	3	4	6	21
55789	8	3	2	4	17
55805	8	3	3	2	16
55846	7	5	5	6	23
60811	4	1	3	3	11
66263	7	3	3	6	19
66268	8	3	3	??	14
66587	7	1	3	3	14
66911	8	5	4	6	23
67809	8	5	5	2	20
68390	7	3	5	5	20
68666	7	2	4	2	15
69904	8	4	5	2	19
70632	7	5	2	1	15
70634	8	3	4	2	17
73378	8	2	5	2	17
74246	4	3	5	3	15
74430	6	1	2	4	13
78890	8	5	5	2	20
78904	6	5	2	4	17
89411	8	3	5	2	18
99429	8	1	3	2	14
10014474	6	1	5	2	14
10017462	5	3	4	6	18
10018624	8	3	2	5	18
10018684	7	3	4	2	16
10018693	8	3	2	3	16
10022467	7	3	5	3	18
10022486	7	4	3	2	16
10022502	7	3	5	4	19
10022510	8	5	5	4	22
10022752	4	3	2	1	10
10022798	7	5	5	6	23
10022955	6	1	3	4	14
10023035	8	5	5	6	24
10023044	8	3	2	4	17
10023322	4	1	2	4	11
10023340	4	3	3	3	13
10023478	8	5	5	6	24
10023564	8	5	5	6	24
10023683	8	3	3	4	18
10023784	5	3	2	6	16
10023877	8	3	5	2	18
10023888	7	5	5	6	23
10023901	6	1	3	2	12
10023950	7	5	5	6	23
10023980	8	3	4	6	21
10024005	7	3	5	4	19
10024091	7	4	5	4	20
10024153	8	1	5	5	19
10024180	8	5	5	6	24
10024279	8	1	4	3	16
10024311	8	5	5	6	24
10024326	8	1	2	2	13
10024450	8	3	4	6	21
10024482	8	2	5	2	17
10024543	7	2	4	4	17
10024545	8	3	3	5	19
10024572	8	3	3	2	16
10024643	8	3	5	2	18
10024647	8	3	3	5	19
10024849	8	3	5	3	19
10024871	8	5	5	4	22
10024890	7	3	4	5	19
10024898	8	3	2	1	14
10024967	8	5	5	6	24
10024987	8	5	4	4	21
10025001	8	3	5	3	19
10025010	8	3	5	4	20
10025031	8	3	4	2	17
10025042	7	5	3	5	20
10025159	8	4	3	2	17
10025272	7	3	4	6	20
10025306	7	3	3	2	15
10025376	??	3	2	1	6
10025701	7	3	2	2	14
10026640	8	1	1	4	14
10026669	7	3	3	2	15
10027477	3	3	3	2	11
10027534	4	3	5	5	17
10027787	3	5	3	2	13
10028371	7	5	5	6	23
10032967	8	5	5	3	21
10034783	7	1	1	5	14
10036138	7	5	3	2	17
10036942	8	3	5	6	22
10037212	8	5	5	6	24
10038217	2	3	4	4	13
10039956	8	5	2	5	20
10041289	7	5	2	6	20
10043589	7	3	5	2	17
10043890	7	5	5	2	19
10043953	8	2	5	3	18
10045033	8	5	2	4	19
10046944	8	3	5	2	18
10047834	8	3	2	5	18
